institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments,program_length_type
BCIT,2019-09-01,Digital Design and Development,2,17750, Hiatus , Terminated from program ,
Langara College,2018-09-01,Continued Studies: Acting,,, Hiatus ,,
Douglas College,2018-09-01,,,,,,
Douglas College,2019-01-01,General Studies,2,12000, Hiatus ,,
Vancouver Community College,2019-01-01,Skin & Body Therapy (Esthetics),1,13500, Completed  ,,
Douglas College,2019-01-01,Health Care Support,1,, Completed  ,,
Vancouver Island University,2019-01-01,,,, Never Attended , No student record at VIU. ,
Camosun College,2019-01-10,Education Assistant & Community Support,1,, Never Attended , Dropped Fall '19 courses. Not enrolled. ,
Douglas College,2019-09-01,General Studies,2,18000, Hiatus ,,
Simon Fraser University,2019-01-01,Creative Writing-Continuing Studies,,,, SFU Continuing Studies ,
Selkirk College,2019-01-01,"Carpentry, Forklift, Occupational First Aid",,, Completed  ,,
Camosun College,2020-09-28,Carpentry Foundation ,1,, Attending ," 2nd program, stdt previously funded for automotive program ",
Douglas College,2019-01-02,Office Administration Certificate,1,6000, Hiatus ,,
Douglas College,2018-10-01,Theatre Diploma,2,12000, Completed  ,,
Thompson Rivers University,2019-01-01,Computing Science Diploma,2,21803.4, Hiatus ,,
Douglas College,2019-01-02,General Studeis Diploma,2,12000, Hiatus ,,
Douglas College,2019-01-01,Bachelor of Business Administration,4,24000, Hiatus ,,
BCIT,1770-07-07,Science and Horticulture,,, Never Attended ,,
Kwantlen Polytechnic University,2019-01-03,Health Science,4,35000, Hiatus ,,
BCIT,2019-01-01,Financial Management Certificate,1,8795, Hiatus ,,
Coast Mountain College,2019-09-04,Early Childhood Care & Education Certificate,2,12426, Never Attended ,,
College of the Rockies,2019-02-12,Engineering,4,, Hiatus ,,
Vancouver Island University,2019-02-01,,,, Never Attended ,,
University of the Fraser Valley,2018-05-13,Bookkeeping,,, Completed  ,,
Kwantlen Polytechnic University,2020-01-01,Business,4,23500, Hiatus ,,
University of the Fraser Valley,2021-09-13,Paralegal Certificate,3,15660, Attending , Legal Admini Cert completed ,
Douglas College,2019-01-01,General Studies,2,12000, Hiatus ,,
Vancouver Community College,2022-01-05,Nail Tech,1,5418,,,
Langara College,2019-01-01,Associate of Arts,,,,,
Vancouver Community College,1770-07-07,Heavy Duty Mechanics/Basic Counselling Skills,1,750, Hiatus , Withdrew ,
Langara College,2022-09-06,Diploma: General Education (Arts),2,12016,, Transferred from UVIC ,
University of British Columbia,2020-09-08,Bachelor of Arts,4,27000, Attending ,,
Capilano University,2019-05-04,Associate of Science in Biology,2,11328.24, Hiatus ,,
Langara College,2019-01-02,Diploma: Arts & Science,,, Hiatus ,,
BCIT,2022-10-01,Carpentry Apprentice Level 1,1,1157,, Transfer from Langara ,
Okanagan College,2020-01-01,Associate of Arts,2,8934, Hiatus ,,
BCIT,2019-01-01,Computer Information Tech Degree,2,15358, Attending ,,
Langara College,2019-05-01,Bachelor of Business Administration: Marketing Management,4,24397, Attending ,,
Justice Insitute of British Columbia,2019-01-01,Substance Use Certificate,3,, Hiatus ,,
Thompson Rivers University,2020-08-04,Bachelor of Arts,4,24100, Hiatus ,,
University of the Fraser Valley,2019-09-01,Bachelor of Arts,,, Never Attended , Registered & Withdrew ,
College of New Caledonia,1770-07-07,Social Service Worker,,, Hiatus ,,
University of Northen BC,1770-07-07,Bachelor of Social Work,4,24565, Never Attended ,,
Camosun College,2020-09-08,University Transfer,2,, Attending ,,
BCIT,2019-01-07,Automotive Technician Apprentice,,2500,, student doing work hours between levels ,
Justice Insitute of British Columbia,2020-04-27,Bylayw Certificate,1,1345,,,
Nicola Valley Institute of Technology,2018-01-01,Chemical Addiction Worker Certificate,1,, Hiatus ," Last attended date: Dec 21, 2019 ",
University of the Fraser Valley,2019-01-01,,,, Never Attended ,,
University of the Fraser Valley,2019-01-07,Qualifying Studies,,8005, Hiatus ,,
Simon Fraser University,2019-01-08,Occupational Health & Safety Certificate ,,,, N/A ,
BCIT,2019-01-01,Interior Design Certificate,1,7200, Attending ,,
Langara College,2019-05-01,Applied Science for Engineers Diploma,,, Hiatus ,,
Justice Insitute of British Columbia,2020-06-06,Firefighter Technologies Certificate ,1,11966,,,
BCIT,1770-07-07,Electrical Foundations,,, Never Attended ,,
Kwantlen Polytechnic University,2019-02-01,Electrical Apprenticship,2,10000, Hiatus ,,
North Island College,2018-01-03,University Studies,,, Attending ,,
Douglas College,2019-01-01,Academic Upgrading,,,,,
BCIT,2022-05-09,Carpentry Framing & Forming Foundation Certificate,1,4104, Hiatus ,,
Vancouver Island University,2019-02-26,Automotive Apprenticeship,1,3500, Attending ,,
Camosun College,2019-01-07,University Transfer,2,, Hiatus , Last attended 04/19 ,
University of the Fraser Valley,2019-09-01,,,, Never Attended ,,
Vancouver Island University,2017-01-04,Bachelor of Science in Nursing,4,25000, Hiatus ,,
Douglas College,2021-01-01,CE-Breastfeeding,1,1100, Completed  ,,
Douglas College,2019-01-01,General Studies,2,12000, Hiatus ,,
University of Victoria,2019-01-01,Bachelor of Science,,, Attending ,,
Thompson Rivers University,2019-01-01,Bachelor of Arts,4,24100, Attending ,,
Coast Mountain College,2018-01-08,Business Administration Diploma,2,11051.36, Hiatus ,,
Camosun College,2018-09-04,Visual Arts,2,, Attending ,,
Justice Insitute of British Columbia,2020-07-06,Emergency Medical Response Paramedic,1,1717.83, Hiatus ,,
Thompson Rivers University,2019-01-01,Bachelor of Science,4,23648, Attending ,,
Okanagan College,2019-01-11,Landscape Horticulture,,, Hiatus , Did not complete ,
Justice Institute of British Columbia,2019-09-06,Bachelor in Emergency and Security Management,4,101482,,,
Douglas College,2019-01-01,Criminology Diploma,2,12000, Hiatus ,,
Camosun College,2019-09-03,College Preparatory,,, Hiatus , Last attended 04/19 ,
Vancouver Island University,2021-09-01,Bachelor of Arts,4,25000, Hiatus ,,
Vancouver Island University,2019-09-03,Bachelor in Child & Youth Care,4,25000, Hiatus ,,
Douglas College,2020-09-01,Associate Degree in Science,2,12000, Hiatus ,,
Vancouver Community College,2019-01-07,Autotech Foundations,,, Completed  ,,
Kwantlen Polytechnic University,2019-01-01,BA Arts,4,33240, Hiatus ,,
BCIT,1770-07-07,Electrical Level 2,,, Never Attended ,,
Kwantlen Polytechnic University,2019-01-01,Electrical Levl 2,1,6000, Completed  , Electrical Foundation credential completed ,
Thompson Rivers University,2019-01-07,Bachelor of Computing Science,4,24100, Hiatus ,,
BCIT,1770-07-07,Fine Arts,,, Never Attended ,,
Kwantlen Polytechnic University,2019-05-01,Arts,4,23500, Hiatus ,,
BCIT,1770-07-07,,,, Never Attended ,,
Vancouver Island University,2019-09-03,Hairstylist Foundations,1,6421.16, Completed  ,,
Kwantlen Polytechnic University,2022-01-05,Bachelor of Arts,4,33348,,,
Camosun College,2018-01-08,Associate Degree Science,2,, Hiatus , Last attended 04/19 ,
Kwantlen Polytechnic University,2022-01-01,Bachelor of Arts,4,33000,,,
Vancouver Island University,2019-09-03,Estethics,1,13500, Hiatus , Withdrew Oct 2019 ,
Okanagan College,2022-01-01,ASsociate of Arts,2,9597.08, Attending ,,
College of the Rockies,2019-09-03,,,, Never Attended ,,
Okanagan College,2018-01-03,Practical Nursing,2,12284.99, Attending ,,
Okanagan College,2019-01-03,Adult Upgrading,,, Hiatus ,  Last attended Winter 2019 (App fee billed only) ,
College of the Rockies,2019-09-03,,,, Hiatus ,,
Kwantlen Polytechnic University,2021-05-10,Health Foundation Certificate,1,8310,,,
Kwantlen Polytechnic University,2021-01-05,Bachelor of Business Administration,4,25000,,,
Kwantlen Polytechnic University,2021-05-10,Bachelor of Arts,4,33240,,,
Vancouver Island University,2019-09-01,,,, Never Attended ,,
Kwantlen Polytechnic University,2022-01-05,Bachelor of Arts,4,33348,,,
Kwantlen Polytechnic University,2022-01-05,Bachelor of Business Administration,4,33348,,,
Vancouver Island University,2017-09-05,Bachelor of Arts,4,25000, Attending ,,
Thompson Rivers University,2019-08-08,Driver Training,1,7500, Completed  ,,
Vancouver Island University,2019-09-03,Social Services Diploma,2,11000, Completed  , May return in future to continue onto Bachelor of Social Work ,
Thompson Rivers University,2019-01-07,Bachelor of Arts,4,24000, Attending ,,
University of the Fraser Valley,2019-05-01,,,, Never Attended ,,
Camosun College,2017-09-05,University Transfer,2,, Hiatus ,,
Camosun College,2020-01-06,College Prep,,, Attending ,,
Thompson Rivers University,2022-09-01,Bachelor of Science,2,11700,, Transfer from Douglas College ,
University of Victoria,1770-07-07,Bachelor of Science,,,,,
Capilano University,2019-01-07,"Art and Sciences, psychology",2,10786.16, Hiatus ,,
Kwantlen Polytechnic University,2021-09-01,Bachelor of Arts,4,33348, Attending ,,
Langara College,2022-01-01,Fine Arts Diploma,2,9193,,,
Okanagan College,2019-01-01,Automotive Tech Services,1,, Completed  ,,
University of Victoria,2019-01-01,,,, Never Attended ,,
Thompson Rivers University,2019-01-07,Bachelor of Science,4,24000, Hiatus ,,
Okanagan College,2019-09-01,Associate of Arts,2,8934, Hiatus , Last attended Aug '20 ,
University of British Columbia Okanagan,2020-09-08,Bachelor of Arts,4,27000, Attending ,,
BCIT,2019-09-01,Forest and Natural Areas Management,2,14000, Completed  ,,
University of Victoria,1770-07-07,Bachelor of Arts,,, Attending ,,
Capilano University,2019-04-10,General Arts Diploma,2,13460.02, Hiatus ,,
Selkirk College,2019-09-04,Hair Stylist,1,4569.06, Completed  ,,
Thompson Rivers University,2018-09-01,Bachelor of Social Work,4,24100, Hiatus ,,
University of British Columbia Okanagan,1770-07-07,Bachelor of Social Work,,, Completed  ,,
Vancouver Island University,2017-09-05,Electrician Apprentice,1,3500, Hiatus , Level 4 start F22 ,
Langara College,2019-05-01,CS: 3D Animation,2,50400, Completed  , Graduated April 2021 ,
University of Victoria,1770-07-07,Bacheor of Engineering,,, Attending ,,
Vancouver Island University,1770-07-07,,,, Never Attended ,,
Emily Carr University of Art & Design,1770-07-07,CS Visual Arts Certificate,,, Hiatus ,,
Langara College,2019-05-06,CS: 2D Animation,1.3,28860, Completed  , student has graduated from the 2D Animation program ,
Camosun College,2019-05-10,Arts and Science Studies,2,, Hiatus , Last attended 06/19 ,
Okanagan College,2019-09-01,Human Service Work,2,7737, Completed  ,,
Vancouver Island University,2019-09-03,Motorcycle and Marine Technician,1,5500, Never Attended ,,
College of the Rockies,2019-09-03,Human Service Worker,,, Hiatus ,,
Okanagan College,2019-09-01,Associate of Arts,2,8934, Hiatus ,,
Vancouver Island University,2019-09-03,Bachelor of Arts,4,25000, Never Attended ,,
Vancouver Community College,2021-02-08,Asian Culinary Program ,1,4500, Completed  , Professional Cook 2 & Asian Culinary completed ,
College of the Rockies,2019-09-03,Early Childhood Education ,1,, Hiatus ,,
Emily Carr University of Art & Design,2019-05-01,Continuing Studies Certificate,1,, Hiatus , Student appears to have abandoned program.  Is no longer attending ,
Thompson Rivers University,2019-09-01,Health Care Assistant,1,4410.56, Completed  ,,
Kwantlen Polytechnic University,2019-05-01,Arts,4,23500, Attending ,,
College of New Caledonia,2019-09-03,,,, Never Attended ,,
Kwantlen Polytechnic University,2019-05-01,Upgrading & University Transfer,4,33240, Hiatus , student attended Upgrading in 2019 and has not taken any undergrad courses ,
BCIT,2019-09-01,Automotive Refinishing Technician Foundation,1,8162, Completed  ,,
Vancouver Island University,2019-09-03,Bachelor of Arts / Social Services Diploma,2,30000, Completed  , Completed Social Services Diploma. WDR F21; on LOA F21 and S22 ,
Vancouver Island University,2016-09-06,Hairstylist Foundation/Apprenticeship,1,7000, Completed  ,,
Vancouver Island University,2018-01-01,,,,, We have no record of PTWP approval for this student ,
Vancouver Island University,2021-09-07,Education Assistant and Community Support,1,5500, Attending ,,
Vancouver Community College,2019-03-03,Basic Counselling Skills,1,1500, Completed  ,,
Kwantlen Polytechnic University,2022-09-09,Horticulture Science,4,33348,,,
BCIT,2019-03-01,Ironworker-Reinforcing,,2500, Completed  , withdrew level 2 ,
Nicola Valley Institute of Technology,2019-03-01,Welding,,, Completed  ,,
Vancouver Island University,2021-09-07,Bachelor of Interior Design,4,25000, Attending ,,
Capilano University,1770-07-07,Arts & Science,,, Hiatus ,,
Douglas College,2019-01-01,Bachelor of Social Work,4,24000, Attending ,,
University of the Fraser Valley,2019-01-01,Bachelor of Social Work,4,22430, Attending ,,
Camosun College,2018-09-04,Bachelor of Business Administration ,4,, Hiatus , Last attended 04/20 ,
University of British Columbia,2019-09-02,Bachelor of Arts,4,14000, Attending ,,
Okanagan College,1770-07-07,Office Assistant Certificate,,, Never Attended ,,
University of British Columbia,2019-01-01,Bachelor of Arts,4,27000, Attending ,,
BCIT,2019-09-01,,,, Never Attended , applied for waiver through BCIT but never applied to BCIT ,
Royal Roads University,2021-08-30,Bachelor of Justice,2,10083.86, Attending , Financial Information is for the full year 2021-22 ,
College of the Rockies,2019-09-03,Office Administration,,, Hiatus ,,
Vancouver Island University,2019-09-03,Carpentry,1,5000, Never Attended ,,
Camosun College,2018-09-04,Criminal Justice,2,, Never Attended , No show for Fall '18 ,
Justice Insitute of British Columbia,2019-05-01,Bylaw Level 2,,,,,
University of British Columbia,2018-09-01,Bachelor of Science,4,10795, Completed  ,,
University of British Columbia,2019-05-01,Bachelor of Arts,4,14000, Attending ,,
Vancouver Island University,2019-04-23,,,,, We have no record of PTWP approval for this student ,
Kwantlen Polytechnic University,2016-05-06,Arts,4,23500, Hiatus ,,
Justice Insitute of British Columbia,2019-05-01,Bylaw Enforcement,,, Completed  ,,
Camosun College,2019-09-03,Associate of Arts Degree,,, Hiatus , Last attended 06/20 ,
University of Victoria,2020-09-01,Bachelor of Arts,4,26668, Attending ,,
Vancouver Island University,2018-09-04,Bachelor of Arts,4,25000, Attending ,,
Vancouver Community College,2019-01-01,Fashion Design Year 1,2,2700, Attending ,,
Langara College,1770-07-07,Associate of Arts: Psychology,,, Hiatus ,,
Vancouver Community College,2020-01-06,University Transfer,1,2500, Attending ,,
Kwantlen Polytechnic University,2019-09-03,Millwright,,3990,,,
Okanagan College,2019-09-01,Early Childhood Education Diploma,2,,, Unsuccessful ,
Simon Fraser University,2019-05-01,Bachelor of Arts,4,26160, Completed  ,,
Camosun College,2019-04-03,Welder Foundation,1,, Hiatus , Last attended 08/19 ,
BCIT,2019-05-01,Marketing Management,1,7300, Attending ,,
North Island College,2019-09-01,Early Childhood Education Certificate,,,,,
North Island College,2019-01-09,University Studies,4,, Hiatus ,,
Kwantlen Polytechnic University,2018-09-01,,,,,,
Thompson Rivers University,2019-12-18,"ABE Intermediate, OL",1,4404, Hiatus ,,
Kwantlen Polytechnic University,2019-05-01,,,,,,
Thompson Rivers University,2019-01-01,Undeclared,4,24100, Never Attended ,,
Douglas College,1770-07-07,Psychiatric Nursing,,, Hiatus ,,
Kwantlen Polytechnic University,2021-09-07,Bachelor of Arts,4,33348,,,
Kwantlen Polytechnic University,2021-09-07,Bachelor of Business Admin,4,33348,,,
Simon Fraser University,2019-05-01,Bachelor of Arts,4,26160, Attending ,,
Camosun College,2019-09-03,Digital Communications,1,, Hiatus ,,
Vancouver Island University,2019-09-03,Bachelor of Business Administration,4,25000, Attending ,,
Emily Carr University of Art & Design,2019-09-01,,,, Never Attended ,,
Kwantlen Polytechnic University,2019-09-01,Criminology,1,23500, Hiatus ,,
Vancouver Island University,2020-09-08,Bachelor of Arts,4,25000, Hiatus , Applied to Hairstylist Foundation S22 ,
Capilano University,2019-09-03,Art and Science,4,24557.32, Attending ,,
Simon Fraser University,2019-09-01,Professional Development ,2,, Completed  ,,
Vancouver Island University,2019-09-01,,,, Never Attended , We have no record of PTWP approval for this student ,
University of Victoria,2021-05-01,Discovery Studies,,,,,
Vancouver Island University,1770-07-07,Adult Basic Education,,, Hiatus , Withdrew Oct 2019 ,
Langara College,2021-09-07,Associate of Arts,2,10662,,,
Langara College,2021-09-07,General Arts Diploma,2,8162,,,
Langara College,2021-01-01,Bachelor of Science,4,18879,,,
Langara College,2021-01-01,Associate of Science,2,9775,,,
Langara College,2021-09-01,Associate of Science,2,9775,,,
Langara College,2021-01-01,Associate of Arts,2,9335,,,
Langara College,2021-01-01,Associate of Arts,2,9335,,,
Langara College,2021-01-01,Bachelor of Science in Nursing,4,32650,,,
Thompson Rivers University,2022-10-01,Medical Lab Assistant,2,5010,, Transfer from North Island College ,
Langara College,2020-09-08,Associate of Science in Computer Science,2,9775,,,
University of Victoria,2019-05-01,Bachelor of Child and Youth Care,,, Attending ,,
Langara College,2020-09-08,Associate of Arts in Psychology,2,9335,,,
Langara College,2020-09-03,Associate of Science,2,9775,,,
College of New Caledonia,2019-09-03,University Transfer,,, Hiatus ,,
Vancouver Island University,2019-09-03,Bachelor of Arts,4,25000, Attending ,,
North Island College,2019-09-01,Welder Foundation,,, Hiatus ,,
BCIT,2019-09-01,Bridge Watch Rating & Nautical Courses,1,2600, Hiatus ,,
Douglas College,2019-09-01,Youth Justice Worker Diploma,2,18000, Attending ,,
Vancouver Island University,2019-08-01,Heavy Equipment Operator Certificate,,15000, Never Attended ,,
BCIT,2022-01-01,Fire Protection Inspection & Testing,1,24328,,,
Douglas College,2018-09-01,Criminology Diploma,2,12000, Attending ,,
Langara College,2021-09-01,Associate of Science,2,9775,,,
Langara College,2020-09-08,Associate of Arts,2,9335,,,
Langara College,2020-09-08,Arts and Science Aboriginal Studies Diploma,,,,,
Justice Insitute of British Columbia,2021-05-25,Firefighting Academy/NFPA-1001 Certification/First Responder Course PARA-1004/EMR Course,1,12297, Attending ," Application Fee FFTC, Tuition FFTC, Tuition HazMat ",
Vancouver Island University,2019-09-01,,,,, We have no record of PTWP approval for this student ,
Nicola Valley Institute of Technology,2020-09-08,Environmental Resources Technology Diploma,1,5300, Completed  ," Graduated April 23, 2021 ",
Okanagan College,2019-05-01,Adult Upgrading,,, Hiatus , Has not attended since summer 2019 ,
University of the Fraser Valley,2020-09-01,Veterinary Administrative Assistant,1,7400, Hiatus ,,
College of New Caledonia,2021-09-01,Licensed Practical Nursing,,, Hiatus ,,
Justice Insitute of British Columbia,2021-09-01,Family Mediation Certificate ,1,10711, Attending ,,
University of Northen BC,2019-05-05,Occupational Health & Safety Certificate ,2,4500, Completed  , One-time fee paid in 2019 ,
Langara College,2021-09-01,Associate of Arts,2,8162,,,
Langara College,2021-09-01,Bachelor of Busines Administration,4,18652,,,
Okanagan College,2019-09-01,Office Assistance Certificate,1,, Completed  ,,
Camosun College,2018-09-04,Bachelor of Sports Management,4,, Completed  ,,
North Island College,2019-09-01,Early Childhood Care & Learning,,, Never Attended ,,
Vancouver Community College,2019-05-01,Esthetics,,, Completed  ,,
Camosun College,2020-09-08,"Community, Family & Child Studies",2,, Attending ,,
Langara College,2021-09-07,EA Certificate,1,7613,,,
Langara College,2019-05-01,Associate of Arts in Commerce & Business Studies,2,9395, Hiatus ,,
Langara College,2021-09-01,Accounting Diploma,2,10967,,,
Langara College,2021-01-01,Film Arts Acting Certificate,1,4826,,,
Langara College,2021-09-01,Associate of Arts,2,9523,,,
Kwantlen Polytechnic University,2019-05-06,Health Foundation,1,11750, Hiatus ,,
North Island College,1770-07-07,University Studies,,, Attending ,,
Langara College,2021-05-01,General Studies Diploma,2,9523,,,
Thompson Rivers University,2018-09-01,Bachelor of Business Administration,4,24100, Hiatus ,,
University of British Columbia,2019-09-01,Bachelor of Applied Science,4,28298, Attending ,,
Langara College,1770-07-07,Associate of Science,,,,,
Langara College,2020-09-08,Foundation in Entertainment Arts,,,,,
Douglas College,2019-09-01,Youth Justice Worker,2,12000, Hiatus ,,
University of British Columbia,2019-09-05,Bachelor of Social Work,4,11000, Hiatus ,,
Douglas College,2021-09-01,Therapeutic Recreation Diploma ,2,12000, Attending ,,
Thompson Rivers University,2019-09-01,Health Care Assistant,1,5820.69, Hiatus ,,
Langara College,2019-05-01,Associate of Sciences: Science (General),2,9335, Hiatus ,,
Douglas College,2019-09-01,Academic Foundations,,, Never Attended ,,
Douglas College,2019-05-01,Academic Foundations/Early Childhood Ed,1,6000, Hiatus ,,
Camosun College,2019-01-07,Early Learning and Care,2,, Completed  ,,
Douglas College,2019-09-01,Bachelor of Arts Child and Youth Care,4,24000, Hiatus ,,
Langara College,2021-09-07,Arts Diploma,2,8674,,,
University of the Fraser Valley,2019-09-01,Qualifying Studies,1,8005, Attending ,,
Camosun College,2016-09-06,University Transfer,2,, Attending ,,
Douglas College,2019-05-01,Academic Foundations,1,6000, Attending ,,
Langara College,2021-12-31,Medical Office Assistant,1,1551, Hiatus ,,
Selkirk College,2020-09-08,Millwright Certificate,1,4604.45, Completed  ,,
Langara College,2020-01-06,Business Management Diploma,2,9150,,,
Capilano University,2019-05-05,Bachelor in Bussiness administration,4,24557.32, Attending ,,
Langara College,2019-05-01,Associate of Arts: Asian Studies,,, Hiatus ,,
BCIT,2017-01-04,Electrical Apprentice,1,3200, Hiatus ,,
Capilano University,2019-05-06,General Arts Diploma,,, Hiatus ,,
University of British Columbia,2020-09-08,Bachelor of Education,4,44101, Hiatus , Transfer ,
College of New Caledonia,2019-09-03,Social Service Worker,,, Completed  ,,
University of Northen BC,2020-09-09,Social Work,4,25964, Attending ,,
Langara College,2020-01-06,Associate of Arts in Psychology,2,9150,,,
Langara College,2019-01-01,,,,,,
Vancouver Island University,2019-09-01,Bachelor in Child & Youth Care,4,25000, Hiatus ,,
Camosun College,2019-09-03,Arts & Science Studies,2,, Never Attended , No Show for enrolled class ,
Thompson Rivers University,2019-09-01,Bachelor of Computing Science,4,24100, Hiatus ,,
University of the Fraser Valley,2019-09-01,,,, Never Attended ,,
Langara College,2019-01-01,,,,,,
Vancouver Community College,2019-09-01,University Transfer,1,, Never Attended ,,
University of the Fraser Valley,1770-07-07,,,, Never Attended ,,
Langara College,2019-09-01,Registered Massage Therapy,,, Hiatus ,,
Capilano University,1770-07-07,Health Care Assitant,,, Hiatus ,,
Thompson Rivers University,2021-09-01,General Studies Diploma,2,18400, Attending ,,
University of Victoria,1770-07-07,Humanities,,,,,
Vancouver Community College,2019-09-01,Esthetics Program,1,, Never Attended , Withdrew ,
Kwantlen Polytechnic University,2019-09-01,Arts,4,23500, Attending ,,
University of British Columbia Okanagan,2015-09-08,Bachelor of Science,4,30000, Attending ,,
Vancouver Island University,2019-09-03,Bachelor of Arts,4,25000, Attending ,,
Langara College,2022-05-01,General Education Diploma,2,12017,,,
College of New Caledonia,2019-09-03,Kinesiology,,, Hiatus ,,
University of British Columbia Okanagan,1770-07-07,Bachelor of Ars,4,27000, Hiatus ,,
Thompson Rivers University,2019-08-01,Horticulture,1,6147.59, Completed  ,,
Langara College,2019-05-06,Diploma: Arts & Science Women's Studies,2,9211, Hiatus ,,
Simon Fraser University,2021-01-05,Bachelor of Arts,4,20028, Attending ,,
BCIT,2021-09-01,Welding,,, Hiatus ,,
North Island College,2018-09-01,Business Administration,,, Attending ,,
Camosun College,2019-09-03,Indigenous family support,1,, Hiatus , Last attended 06/20 ,
College of the Rockies,2021-09-01,Education Assistant Certificate,1,4057, Attending ,,
Okanagan College,2019-09-01,Administrative Assistant Certificate,1,, Hiatus , Last attended Fal 2019 ,
Langara College,1770-07-07,Psychology,,,,,
Langara College,2020-01-06,Associate of Arts: History,,2818,,,
Langara College,2021-09-01,Kinesiology Diploma,2,12014,,,
Thompson Rivers University,2019-01-05,Undeclared,4,24100, Hiatus ,,
University of British Columbia,2019-09-01,Bachelor of Arts,4,27000, Attending ,,
College of New Caledonia,2019-09-03,Criminology,,, Hiatus ,,
Vancouver Island University,2018-09-04,Fine Arts (Theatre),2,11000, Completed  ,,
Vancouver Community College,2019-04-01,ECE Assistant Course-Health,2,410, Completed  ,,
Nicola Valley Institute of Technology,2019-09-01,Health Care Assistant,1,1560, Hiatus ,,
Native Education College,2020-09-01,Aboriginal Justice Studies,1,5973, Attending ,,
Vancouver Island University,2015-09-08,Bachelor of Science,4,25000, Completed  ,,
Vancouver Island University,1770-07-07,,,, Never Attended , We have no record of PTWP approval for this student ,
Thompson Rivers University,2019-09-01,Bachelor of Fine Arts,4,24100, Hiatus ,,
Langara College,2019-01-01,,,,,,
Vancouver Island University,2019-09-03,Bachelor of Business Administration,4,25000, Attending ,,
Vancouver Island University,2019-06-01,,,,, We have no record of PTWP approval for this student ,
Vancouver Island University,2019-09-03,Social Services,4,25000, Attending , Previously enrolled in Bachelor of Arts ,
University of British Columbia,2019-09-05,Bachelor of Applied Science in Integrated Engineering,4,28298, Attending ,,
Vancouver Community College,2019-10-21,Professional Cook 1,,5345.5, Hiatus , Withdrew ,
Native Education College,2019-09-03,Health Care Assistant Program,1,7301, Hiatus ,,
Camosun College,2019-05-06,College Prep,,, Hiatus , Last attended 06/19 ,
Capilano University,2019-09-03,Applied Behaviour Analysis ,4,31187.02, Attending ,,
Langara College,2019-09-03,Associate of Arts,,, Hiatus ,,
Douglas College,2020-01-01,Health Care Assistant,1,2016, Hiatus ,,
Okanagan College,2019-09-01,Basic Accounting,,, Completed  ,,
College of the Rockies,2019-09-03,Health Care Assistant,1,, Completed  ,,
College of New Caledonia,2019-08-19,,,, Hiatus ,,
Vancouver Island University,2018-09-04,Information & Technology Systems,2,12000, Completed  ,,
Camosun College,2019-09-03,Visual Arts,2,, Hiatus , Last attended 04/20 ,
Douglas College,2019-05-01,Bachelor of Business Administration,4,38000, Hiatus ,,
Simon Fraser University,2021-01-05,Bachelor of Business Administration,2,20318, Attending ,,
Camosun College,2019-09-03,Arts & Sciences Studies,2,, Never Attended , Withdrew from all Fall '19 courses ,
University of Victoria,2019-09-01,Bachelor of Science,,, Attending ,,
Langara College,2019-09-09,,,,,,
Langara College,2021-09-07,Arts & Science,2,8162,,,
Vancouver Island University,2018-09-04,Bachelor of Arts in Child & Youth Care,4,25000, Attending ,,
Thompson Rivers University,2019-09-01,Bachelor of Arts,4,24100, Hiatus ,,
Douglas College,2019-09-01,General Studies,2,12000, Hiatus ,,
Capilano University,2019-09-04,Bachelor in Motion Picture Art,,, Hiatus ,,
Camosun College,2019-09-03,Indigenous Studies,2,, Attending ,,
Capilano University,2019-09-03,2D Animation and Visual Arts,2,13460.92, Hiatus ,,
Camosun College,2019-05-06,University Transfer,2,, Hiatus , Last attended 08/20 ,
Langara College,2019-05-01,,,,,,
Langara College,2019-05-06,Kinesiology,2,9211, Hiatus ,,
Langara College,2019-01-02,,,,,,
Camosun College,2021-09-03,Health Care Assistant,1,3500, Hiatus ,,
Selkirk College,2019-09-03,Nursing Unit Clerk,1,,, Completed fall semester and withdrew from Winter ,
Nicola Valley Institute of Technology,2019-09-01,,,, Never Attended ," No application submitted, no student number or other information provided from student. ",
Capilano University,2019-09-03,Indigenous Independent Filmmaking,2,21885.55, Hiatus ,,
University of British Columbia,2022-09-06,Bachelor of Arts,3,23000,, Transferred from Langara College ,
Langara College,2018-09-01,,,,,,
Selkirk College,2019-09-03,Hairstylist Foundation,1,7936, Completed  ,,
Vancouver Island University,2019-09-10,Exploratory Studies,4,25000, Hiatus , Last attended Spring 2020 ,
Emily Carr University of Art & Design,2019-09-01,Bachelor of Fine Arts-Visual Arts,4,21000, Attending ,,
Langara College,2021-05-01,Fine Arts Diploma,2,13169,,,
Kwantlen Polytechnic University,2019-09-01,Arts,4,23500, Hiatus ,,
Vancouver Community College,2019-09-01,Auto Service Technician Foundations,1,5315, Completed  ,,
Coast Mountain College,2019-09-03,Business Administration Diploma,2,12426, Hiatus ,,
Langara College,2019-09-01,Kinesiology,,, Hiatus ,,
College of New Caledonia,2019-09-03,Social Service Worker,,, Hiatus ,,
Douglas College,2019-09-03,Bachelor of Arts in Child & Youth Care,2,12000, Attending , Youth Justice Work Diploma Completed ,
